 const           X2              X3              U1              U0              V               Y1              Y0              D               Y             
1.0             -0.014710        0.023439       -0.015029        0.072663       -0.767427        0.976807        0.568986       1.0              0.976807      
1.0              1.941447       -1.375891        0.121409        0.021829        0.563892        2.198912        1.007191       1.0              2.198912      
1.0             -0.220668        1.555453        0.078986       -0.023754        0.304143        0.956515        0.421079       0.0              0.421079      
1.0              0.531899        0.192161        0.076321        0.028085        1.129450        1.371525        0.661060       0.0              0.661060      
1.0             -0.295161        1.663835       -0.053739        0.106255        0.030013        0.782446        0.532464       0.0              0.532464      
1.0              2.030613        0.845409       -0.112613       -0.046794       -0.113168        2.014377        0.960859       1.0              2.014377      
1.0             -0.189934       -0.830659       -0.000561       -0.048730        0.036247        0.894026        0.403786       1.0              0.894026      
1.0              0.590819        1.731056       -0.091649        0.073059       -0.715671        1.236255        0.720764       1.0              1.236255      
1.0              0.790466        1.133287       -0.078217       -0.185083       -0.752158        1.360492        0.512533       1.0              1.360492      
1.0             -1.378429        0.020067        0.180205       -0.057158        1.112402        0.415177        0.098234       0.0              0.098234      
1.0             -0.089817       -0.279000        0.024354       -0.067862       -0.052191        0.974506        0.409684       1.0              0.974506      
1.0              0.212042        2.217055       -0.022872       -0.017309       -0.391822        1.094811        0.535702       0.0              0.535702      
1.0              0.140421       -0.949804        0.004355        0.001276       -0.660895        1.082289        0.536381       1.0              1.082289      
1.0             -0.152488        0.997728        0.150062       -0.139993        0.599014        1.065431        0.321885       0.0              0.321885      
1.0             -0.008147        0.812770       -0.075304        0.058249       -0.729648        0.920175        0.556212       1.0              0.920175      
1.0              0.962076       -1.210027        0.264935       -0.099564        1.196918        1.798888        0.640955       0.0              0.640955      
1.0             -2.212943        0.613103        0.008139        0.087685       -0.484076       -0.220044        0.034450       1.0             -0.220044      
1.0             -0.243372       -0.256826       -0.000754       -0.007892       -0.909643        0.864174        0.431265       1.0              0.864174      
1.0              0.882084       -0.619958        0.118808       -0.097278        1.717069        1.608364        0.623243       0.0              0.623243      
1.0              0.363549        1.137413        0.178168        0.045299        0.414351        1.379938        0.636186       0.0              0.636186      
1.0              0.314807       -0.773532       -0.052203        0.117375        0.115530        1.122515        0.696077       1.0              1.122515      
1.0             -0.693967       -1.144303       -0.046763        0.069518        0.797304        0.568086        0.396026       1.0              0.568086      
1.0             -0.293723        1.021560        0.076688       -0.022587        0.556070        0.913672        0.403982       0.0              0.403982      
1.0             -0.262058       -0.241388        0.076319       -0.114161        0.807126        0.930877        0.320325       0.0              0.320325      
1.0             -0.216773        0.101277       -0.005738       -0.049266        1.993331        0.873953        0.396540       0.0              0.396540      
1.0              0.705281       -1.939360        0.062147        0.041221        0.414557        1.453578        0.717541       1.0              1.453578      
1.0             -0.296565        0.101588       -0.074178       -0.045843       -1.037329        0.761228        0.380016       1.0              0.761228      
1.0              0.734825       -1.651857       -0.093633       -0.035734        0.318649        1.314195        0.647972       1.0              1.314195      
1.0             -0.722268        1.471200       -0.222866        0.010990       -1.214944        0.376275        0.330423       1.0              0.376275      
1.0             -2.430214        1.650545       -0.014257       -0.115712        0.085132       -0.363026       -0.223265       0.0             -0.223265      
