 const           X2              X3              X4              X5              X6              X7              X8              X9              U1              U0              V               wage1           wage0           state           wage          
1.0             -1.304365       -1.192269       -0.245302       -0.550872       -0.891421       -0.814367       -0.881669        0.214393       -0.237881        1.558189e-01    0.558932        0.419317        0.529494       1.0              0.419317      
1.0             -0.920141        0.073159       -0.646526        0.146931       -0.576789        0.281607        0.457650       -0.310399        0.083228        1.313232e-01   -0.991846        0.056593        0.278228       1.0              0.056593      
1.0             -0.440918       -0.671934        0.067544        1.771772       -0.646698       -0.726268       -1.144559        0.658424        0.050013        4.992308e-02   -0.972360        1.493847        0.795648       1.0              1.493847      
1.0              0.305238       -0.310791       -0.672296       -1.410466       -0.880457        0.481738       -1.291133       -0.053623       -0.010928        1.623357e-01    3.426660        0.594762        0.561348       0.0              0.561348      
1.0              0.383392        2.290489        0.744494       -0.506732       -1.396963       -1.609115        0.155395        1.627463       -0.197618       -1.378387e-01    1.998497        0.217493       -0.042536       0.0             -0.042536      
1.0              2.711616        1.129177       -0.360898        0.230697        0.927070       -0.353822        1.024933        1.064790       -0.111207       -6.541678e-02    2.230804        1.520328        0.797068       0.0              0.797068      
1.0              1.179394       -0.733404        1.035613       -0.260483       -0.948228       -0.387854        1.749366        0.047553        0.095438       -1.084453e-02    1.996922        2.888554        1.134306       0.0              1.134306      
1.0             -1.259014        2.011595        0.456376        2.147330        0.312225        0.352905        1.536743       -1.634332        0.298409       -1.216535e-01    0.251171        0.150622       -0.163030       0.0             -0.163030      
1.0             -0.243940       -0.395122        1.621544        0.668268        1.410132        0.192776        0.036132        0.509970       -0.079226       -8.859153e-02   -1.656802        2.322527        0.802607       1.0              2.322527      
1.0             -0.262356       -1.123983       -2.237556        0.319960        1.923264        0.019765        0.478758       -0.760159        0.197030        4.625192e-02   -1.147358        0.025471        0.401947       1.0              0.025471      
1.0             -2.008681        0.410372       -1.495503        0.378233       -0.644473       -0.992379       -1.228114        1.427439       -0.188675        2.025150e-01   -0.085053       -1.611728       -0.141417       1.0             -1.611728      
1.0             -0.091539       -1.572346       -0.177293        0.524677       -0.060305        0.385619        2.299052        0.292354        0.143186       -4.772134e-02   -0.332732        1.902504        0.850325       0.0              0.850325      
1.0              0.054432       -0.668338        1.556513        1.467217        0.444894       -0.541793       -0.240503       -0.237270       -0.217897       -7.152338e-02   -1.392573        2.575827        1.032789       1.0              2.575827      
1.0             -2.765205       -1.558529       -2.004643       -0.911094        0.599072       -0.204110        0.086956       -0.786298        0.261564       -6.301321e-02   -1.132721       -1.072866       -0.315061       1.0             -1.072866      
1.0             -0.348554       -0.924696        0.102805       -0.049020        0.660275       -1.023613       -0.383846       -0.627940        0.151940        1.089957e-01   -0.434430        1.531719        0.769250       1.0              1.531719      
1.0              1.671549       -0.041188        0.880842        1.440175        1.033074        0.207588        0.903025        1.365227        0.077391       -3.434092e-01   -0.807148        2.906223        0.891217       0.0              0.891217      
1.0             -0.947859       -0.389119       -0.738819        0.188476        0.994523       -1.094883        0.182273        1.265680       -0.094992       -2.684332e-01    1.246206        0.056313       -0.022933       0.0             -0.022933      
1.0             -0.228640       -1.590362       -1.289065       -0.283085        0.083109       -0.171829        0.438750        0.836024        0.264367       -1.763429e-01    1.714931        0.993001        0.415049       0.0              0.415049      
1.0             -0.364755       -0.113738       -0.029490       -0.043323        0.768700       -0.918011        0.104330        1.607652       -0.384681        6.405514e-03    0.086764        0.437024        0.432906       0.0              0.432906      
1.0             -0.829815       -0.510345        1.286268       -0.270213        0.133609       -0.134957        0.581329       -1.065805        0.142625       -1.037360e-01   -0.480182        1.884569        0.515541       1.0              1.884569      
1.0              0.116471        0.279135       -0.235136       -0.283763       -1.612927       -0.790113        0.396805       -0.950237       -0.036029       -9.486965e-02    2.474726        0.642181        0.294072       0.0              0.294072      
1.0             -0.596742       -0.869313        0.957076       -1.252943        0.805131        0.528146       -0.697747        0.628431        0.197979       -6.441937e-02    1.158673        1.867642        0.550632       0.0              0.550632      
1.0              0.912296       -0.382806        0.426373        1.151058        0.597542        1.688713        1.261456        1.903844       -0.162160        1.159078e-01    0.117972        2.046948        1.135151       0.0              1.135151      
1.0              1.331898        0.509025       -0.648417        0.510389       -1.193472        1.279954       -0.800276       -1.843877       -0.087800       -4.957874e-02   -0.351308        0.948451        0.595989       1.0              0.948451      
1.0              0.006773       -2.302429        0.563083        0.620837        1.511223       -0.761433        0.552490       -0.682221       -0.250330       -5.697641e-02    1.234289        2.542634        1.192700       0.0              1.192700      
1.0              2.649174       -0.868077        0.250641        1.187280        0.237899        0.363260        1.588438        0.286855       -0.160905       -2.672203e-01    1.438289        3.154431        1.291176       0.0              1.291176      
1.0             -0.669058        0.869458        0.347659        1.170134        1.170709       -0.093430       -1.187855        0.102420       -0.165871        4.369242e-02    1.238111        0.414106        0.328329       0.0              0.328329      
1.0              0.151283       -0.130768       -0.314951       -1.590599        0.231438       -1.942730       -1.602972       -0.775094        0.418536       -2.703310e-01    0.898823        1.080743        0.088917       1.0              1.080743      
1.0              1.036528       -0.593315       -1.111221        1.264607        0.641622       -0.214959       -1.223451       -0.679705        0.051170        1.269081e-01    0.812457        1.302776        0.970871       1.0              1.302776      
1.0             -0.948111        1.300939        0.437741        0.259957       -0.067824       -2.449920       -0.622769        1.387080        0.081664       -2.695948e-01    0.177808        0.194230       -0.240052       0.0             -0.240052      
1.0             -0.025992        1.128013       -0.090757        0.427574        0.381850       -1.272562       -0.185508        1.756015        0.115603        7.641798e-02   -1.862559        0.462883        0.308303       1.0              0.462883      
1.0              1.964579       -0.511989       -0.087175       -1.202915       -0.858842       -0.653723       -0.161591       -1.250298        0.164950       -7.618777e-02   -0.614195        2.277177        0.921197       1.0              2.277177      
1.0             -1.969826        0.505269       -0.809892        0.525459        0.172551       -0.407573        1.025538       -0.089268        0.150744        8.822981e-02   -2.408851       -0.762957       -0.134246       1.0             -0.762957      
1.0             -0.049714       -0.208039        0.126394        0.745917       -0.665320        0.688037       -0.653025       -0.282870       -0.073008       -9.547566e-03   -0.716273        1.215907        0.626794       1.0              1.215907      
1.0              0.424333       -0.369158       -0.179900       -0.132563        0.407107        0.431743        1.052779       -1.573325       -0.220665       -1.476978e-01    0.103540        1.053352        0.509752       1.0              1.053352      
1.0              1.008051       -0.121734       -0.051277       -0.904326       -0.072217        1.609687       -0.702583       -0.341565        0.065074       -1.677398e-01    0.471117        1.503221        0.522033       1.0              1.503221      
1.0             -0.441231        0.570519        0.688234        0.134938        0.750837       -0.288636       -1.416435        0.340408       -0.038726        3.794809e-01    1.852053        0.930286        0.756483       0.0              0.756483      
1.0             -1.682589       -0.385157        1.297445        0.543590       -1.026850        0.177904       -0.328301       -0.752740       -0.235874        7.453210e-02    0.902710        1.097879        0.526728       1.0              1.097879      
1.0             -0.804100        0.299364        0.096523        0.042330        0.791341        0.392116       -0.896527       -0.813462        0.220081        7.729459e-02    1.007441        0.677094        0.317154       1.0              0.677094      
1.0             -0.522672       -0.102136        0.805418        0.570002        1.195958       -1.405245        0.278698        1.297144        0.277287       -5.151724e-02    1.866469        1.730330        0.539903       0.0              0.539903      
1.0             -1.574487        0.723412       -0.715863        1.644903       -1.079387        1.291636        0.357702        1.118133       -0.124144        4.314331e-02   -0.451317       -0.694994       -0.007034       1.0             -0.694994      
1.0             -0.256593       -0.284187        0.876732       -0.621586        0.446709        0.432415        1.390737       -1.131683       -0.181856       -2.237640e-02   -0.736330        1.389046        0.578316       1.0              1.389046      
1.0             -1.122267       -0.730983        0.105320        0.900534        0.163594       -0.799084        1.259058        0.380782       -0.085863        6.319688e-02   -2.707387        0.906074        0.570923       1.0              0.906074      
1.0             -0.501389        1.160317        0.244752        1.736457        1.317763       -0.974758        0.725425       -0.804885       -0.144124       -1.645727e-01    0.970913        0.377567        0.126353       0.0              0.126353      
1.0             -0.190573       -0.515839       -0.014583        1.561065        0.211514        0.066519        0.038024        0.135398        0.063544        1.576438e-01    1.995829        1.465022        0.892085       0.0              0.892085      
1.0              1.838031       -1.361422       -0.485263       -1.247764       -0.652769       -0.674121        0.130770        0.840144       -0.295870        3.922358e-02    1.135197        1.910049        1.146135       0.0              1.146135      
1.0             -0.854962        0.818492       -0.534001        0.964401        0.778109        1.207736       -0.382875        0.632063        0.096670        7.514380e-02    0.400593       -0.095786        0.149188       1.0             -0.095786      
1.0              1.280753        0.800579       -0.356178        0.744883        0.236889        0.409144       -0.015246       -2.619809       -0.031576        3.730737e-01   -2.284205        1.071463        1.006066       1.0              1.071463      
1.0             -0.920034        0.696979       -0.515092       -0.296411       -1.446355        0.267661        1.272058       -1.369743        0.226353       -2.639375e-01   -0.943305       -0.115928       -0.296600       1.0             -0.115928      
1.0             -0.044929       -1.813796        0.120346       -1.032665        1.080211       -0.587798        0.180293        0.466413       -0.082831        2.089223e-01    1.015586        1.819688        1.079337       0.0              1.079337      
1.0             -1.348248       -0.650705        1.367893        1.529811       -1.246568       -0.653788        0.624597        0.312053       -0.001418       -2.217856e-01   -0.133441        1.871326        0.493177       0.0              0.493177      
1.0              1.800025       -2.402120        0.902528        0.223206        0.217236       -1.958562       -0.339895       -0.540339        0.156611        1.622238e-01   -0.038824        4.194807        1.915368       0.0              1.915368      
1.0              1.792755       -1.827622       -1.394848        1.408234        0.432357        2.146997       -0.720583        0.415594        0.248684       -1.410407e-02   -0.003071        2.413160        1.301476       1.0              2.413160      
1.0              1.031514        1.283649       -1.013759        1.232761        0.501112       -0.060543       -0.105613       -0.330294        0.452382       -2.856342e-01   -3.012929        0.728137        0.092512       1.0              0.728137      
1.0              0.827954        0.685943       -0.240103       -0.071588       -1.009521       -1.738936        0.030936       -0.648389        0.082216        2.809284e-01    0.378262        0.958658        0.767625       0.0              0.767625      
1.0             -1.077064        2.632681        1.113879        1.226187       -2.398339       -0.128069       -0.413267        1.377994       -0.184887       -2.186138e-01    0.919010       -0.222758       -0.346640       0.0             -0.346640      
1.0              0.002645        0.375699        1.143404        0.571465       -0.899404        1.449500        1.681502       -1.197086        0.130796       -5.988655e-02    0.162954        1.865599        0.603542       1.0              1.865599      
1.0              1.622341        0.820890        0.258888        0.348772       -1.149565       -1.350661        1.386589        1.839019        0.283594        5.204837e-02    0.879623        1.967919        0.836614       0.0              0.836614      
1.0             -0.451401        1.040258        0.610971        1.071392       -0.524846       -0.495642        0.470973       -0.892310       -0.101398        1.813025e-01    1.167706        0.688081        0.514696       0.0              0.514696      
